# table produced by calculations.DamageProfiler
# using mapped file Pool-3-010-AZP-195_S14_rmdup.bam
# Sample ID: Pool-3-010-AZP-195_S14_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	14
+	31	14
+	32	20
+	33	18
+	34	14
+	35	15
+	36	25
+	37	10
+	38	4
+	39	15
+	40	8
+	41	17
+	42	13
+	43	10
+	44	23
+	45	8
+	46	15
+	47	19
+	48	13
+	49	12
+	50	7
+	51	12
+	52	15
+	53	6
+	54	12
+	55	16
+	56	4
+	57	4
+	58	13
+	59	13
+	60	316
+	61	9
+	62	3
+	63	7
+	64	5
+	65	10
+	66	4
+	67	3
+	68	3
+	69	3
+	70	5
+	71	4
+	72	6
+	73	6
+	74	4
+	75	5
+	76	5
+	78	1
+	79	2
+	80	1
+	81	4
+	82	1
+	83	1
+	84	3
+	85	3
+	86	1
+	87	1
+	88	2
+	89	4
+	91	3
+	92	1
+	93	6
+	94	2
+	96	1
+	99	3
+	101	1
+	103	1
+	104	2
+	105	1
+	107	2
+	109	1
-	30	9
-	31	13
-	32	15
-	33	19
-	34	20
-	35	18
-	36	8
-	37	13
-	38	13
-	39	18
-	40	14
-	41	9
-	42	17
-	43	19
-	44	16
-	45	13
-	46	12
-	47	6
-	48	10
-	49	14
-	50	8
-	51	9
-	52	10
-	53	14
-	54	8
-	55	4
-	56	12
-	57	10
-	58	4
-	59	10
-	60	318
-	61	9
-	62	7
-	63	4
-	64	5
-	65	9
-	66	3
-	67	1
-	68	8
-	69	4
-	70	5
-	71	5
-	72	1
-	73	2
-	74	7
-	75	10
-	76	3
-	77	3
-	78	5
-	79	3
-	80	2
-	81	5
-	82	3
-	83	1
-	84	4
-	85	3
-	86	3
-	87	2
-	88	3
-	89	4
-	90	1
-	91	2
-	92	3
-	93	4
-	97	2
-	98	1
-	99	2
-	101	1
-	105	2
-	109	5
