# table produced by calculations.DamageProfiler
# using mapped file Pool-3-010-AZP-195_S14_rmdup.bam
# Sample ID: Pool-3-010-AZP-195_S14_rmdup.bam
pos	5pC>T
1	0.052752293577981654
2	0.04207920792079208
3	0.022271714922048998
4	0.04918032786885246
5	0.027972027972027972
6	0.014388489208633094
7	0.011061946902654867
8	0.019138755980861243
9	0.012552301255230125
10	0.026378896882494004
11	0.016913319238900635
12	0.014285714285714285
13	0.017977528089887642
14	0.01272264631043257
15	0.014150943396226415
