# table produced by calculations.DamageProfiler
# using mapped file Pool-4-046-AZP-283_S47_rmdup.bam
# Sample ID: Pool-4-046-AZP-283_S47_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	22
+	31	11
+	32	31
+	33	30
+	34	24
+	35	27
+	36	17
+	37	23
+	38	29
+	39	26
+	40	27
+	41	17
+	42	18
+	43	19
+	44	28
+	45	30
+	46	23
+	47	23
+	48	22
+	49	22
+	50	20
+	51	23
+	52	21
+	53	22
+	54	23
+	55	18
+	56	26
+	57	26
+	58	20
+	59	32
+	60	589
+	61	17
+	62	18
+	63	23
+	64	18
+	65	24
+	66	17
+	67	19
+	68	11
+	69	13
+	70	21
+	71	13
+	72	15
+	73	18
+	74	15
+	75	15
+	76	11
+	77	9
+	78	13
+	79	14
+	80	8
+	81	13
+	82	3
+	83	4
+	84	8
+	85	6
+	86	5
+	87	5
+	88	7
+	89	14
+	90	7
+	91	6
+	92	4
+	93	5
+	94	6
+	95	3
+	96	5
+	97	8
+	98	10
+	99	2
+	100	4
+	101	8
+	102	2
+	103	6
+	104	3
+	105	6
+	106	3
+	107	4
+	108	2
+	109	3
-	30	30
-	31	27
-	32	27
-	33	33
-	34	20
-	35	19
-	36	21
-	37	21
-	38	18
-	39	23
-	40	26
-	41	16
-	42	18
-	43	17
-	44	30
-	45	21
-	46	24
-	47	32
-	48	24
-	49	21
-	50	15
-	51	19
-	52	20
-	53	26
-	54	12
-	55	26
-	56	14
-	57	21
-	58	18
-	59	25
-	60	586
-	61	13
-	62	19
-	63	20
-	64	16
-	65	20
-	66	17
-	67	13
-	68	14
-	69	13
-	70	13
-	71	19
-	72	6
-	73	15
-	74	11
-	75	10
-	76	11
-	77	12
-	78	11
-	79	13
-	80	14
-	81	17
-	82	9
-	83	15
-	84	6
-	85	5
-	86	6
-	87	5
-	88	4
-	89	8
-	90	4
-	91	8
-	92	5
-	93	10
-	94	4
-	95	8
-	96	6
-	97	6
-	98	3
-	99	3
-	100	9
-	101	3
-	102	3
-	103	5
-	104	3
-	105	5
-	106	4
-	107	6
-	108	5
-	109	4
