#Coverage (X)	Coverage
1.0	6.944886622459407
2.0	0.8752615664940748
3.0	0.4855253994795845
4.0	0.39129734193244303
5.0	0.3323072325331111
6.0	0.2881482848542163
7.0	0.25597693029521906
8.0	0.2303290566433418
9.0	0.20830533905096615
10.0	0.19007304625930033
11.0	0.1720080222088427
12.0	0.15188001701682197
13.0	0.13136171809532016
14.0	0.1135197190331354
15.0	0.09723889488888915
16.0	0.0853070580160562
17.0	0.07226009620183049
18.0	0.0583210344344991
19.0	0.048229153714956396
20.0	0.03947542292507933
21.0	0.03178106082951615
22.0	0.023529136263263695
23.0	0.01756321782684722
24.0	0.014663892979243087
25.0	0.0122106181081989
26.0	0.009645830743011174
27.0	0.008084655825072673
28.0	0.006467724660069507
29.0	0.005408355965755618
30.0	0.003791424800752452
31.0	0.002453274871086819
32.0	0.00139390617677293
33.0	0.0010036124472918573
34.0	6.133187178107846E-4
35.0	1.6726874125083668E-4
36.0	4.263256414560601E-14
37.0	4.263256414560601E-14
38.0	4.263256414560601E-14
39.0	4.263256414560601E-14
40.0	4.263256414560601E-14
41.0	4.263256414560601E-14
42.0	4.263256414560601E-14
43.0	4.263256414560601E-14
44.0	4.263256414560601E-14
45.0	4.263256414560601E-14
46.0	4.263256414560601E-14
47.0	4.263256414560601E-14
48.0	4.263256414560601E-14
49.0	4.263256414560601E-14
50.0	4.263256414560601E-14
51.0	4.263256414560601E-14
