#Coverage	Number of genomic locations
0.0	1674213.0
1.0	74815.0
2.0	5313.0
3.0	2258.0
4.0	1422.0
5.0	1262.0
6.0	1003.0
7.0	881.0
8.0	828.0
9.0	644.0
10.0	661.0
11.0	644.0
12.0	528.0
13.0	468.0
14.0	383.0
15.0	437.0
16.0	308.0
17.0	320.0
18.0	272.0
19.0	283.0
20.0	295.0
21.0	250.0
22.0	253.0
23.0	226.0
24.0	217.0
25.0	208.0
26.0	127.0
27.0	151.0
28.0	156.0
29.0	125.0
30.0	107.0
31.0	107.0
32.0	83.0
33.0	88.0
34.0	75.0
35.0	79.0
36.0	62.0
37.0	70.0
38.0	93.0
39.0	122.0
40.0	95.0
41.0	106.0
42.0	46.0
43.0	57.0
44.0	58.0
45.0	41.0
46.0	38.0
47.0	23.0
48.0	7.0
49.0	9.0
50.0	15.0
51.0	16.0
52.0	14.0
53.0	14.0
54.0	14.0
55.0	5.0
56.0	5.0
57.0	11.0
