#Position (bp)	mapping quality
2214.0	0.9608644859813084
6641.0	0.0
11068.0	0.13465146485784385
15495.0	27.593301435406698
19922.0	34.19168591224018
24349.0	31.11320754716981
28776.0	25.307692307692307
33203.0	31.121951219512194
37630.0	28.21608040201005
42057.0	29.34722222222222
46484.0	28.56989247311828
50911.0	36.77710843373494
55338.0	34.62264150943396
59765.0	28.762820512820515
64192.0	34.55015197568389
68619.0	32.285714285714285
73046.0	24.46794871794872
77473.0	31.497925311203318
81900.0	22.931297709923665
86327.0	29.48502994011976
90754.0	10.006578947368421
95181.0	28.328358208955223
99608.0	28.17557251908397
104035.0	35.806930693069305
108462.0	32.57236842105263
112889.0	8.51063829787234
117316.0	30.7
121743.0	23.87323943661972
126170.0	26.214285714285715
130597.0	34.62769230769231
135024.0	32.81534090909091
139451.0	33.9364161849711
143878.0	32.01428571428571
148305.0	33.84169884169884
152732.0	31.68788501026694
157159.0	26.991803278688526
161586.0	37.0
166013.0	30.02826855123675
170440.0	25.0
174867.0	31.113636363636363
179294.0	26.300970873786408
183721.0	34.95454545454545
188148.0	32.76036866359447
192575.0	25.328859060402685
197002.0	37.0
201429.0	35.160919540229884
205856.0	33.32116788321168
210283.0	35.752808988764045
214710.0	29.350467289719628
219137.0	31.023696682464454
223564.0	32.71844660194175
227991.0	29.54708520179372
232418.0	31.7966573816156
236845.0	23.780701754385966
241272.0	32.758620689655174
245699.0	34.2
250126.0	31.843065693430656
254553.0	32.532075471698114
258980.0	28.77777777777778
263407.0	28.449074074074073
267834.0	35.4112676056338
272261.0	28.208333333333332
276688.0	28.06551724137931
281115.0	36.05338078291815
285542.0	34.34201954397394
289969.0	34.63979848866499
294396.0	31.04208998548621
298823.0	28.930948419301163
303250.0	22.5
307677.0	31.94736842105263
312104.0	34.706382978723404
316531.0	19.83783783783784
320958.0	22.116666666666667
325385.0	26.728395061728396
329812.0	32.626168224299064
334239.0	29.12682926829268
338666.0	30.20245398773006
343093.0	23.15
347520.0	29.39271255060729
351947.0	36.715384615384615
356374.0	30.81283422459893
360801.0	33.93227091633466
365228.0	25.406593406593405
369655.0	35.43518518518518
374082.0	34.1578947368421
378509.0	26.873646209386283
382936.0	32.58771929824562
387363.0	29.42391304347826
391790.0	14.318181818181818
396217.0	30.54102564102564
400644.0	30.897540983606557
405071.0	36.76875
409498.0	19.853658536585368
413925.0	30.0859375
418352.0	35.11377245508982
422779.0	21.525925925925925
427206.0	33.92700729927007
431633.0	35.708154506437765
436060.0	34.41258741258741
440487.0	23.7682119205298
444914.0	26.267080745341616
449341.0	34.66129032258065
453768.0	29.349726775956285
458195.0	30.576923076923077
462622.0	37.0
467049.0	30.44402985074627
