#Coverage	Number of genomic locations
0.0	1574309.0
1.0	138832.0
2.0	18534.0
3.0	7193.0
4.0	4489.0
5.0	3431.0
6.0	2084.0
7.0	1442.0
8.0	1146.0
9.0	1052.0
10.0	764.0
11.0	737.0
12.0	674.0
13.0	524.0
14.0	502.0
15.0	366.0
16.0	342.0
17.0	343.0
18.0	355.0
19.0	288.0
20.0	283.0
21.0	279.0
22.0	261.0
23.0	234.0
24.0	226.0
25.0	277.0
26.0	260.0
27.0	268.0
28.0	245.0
29.0	277.0
30.0	302.0
31.0	282.0
32.0	306.0
33.0	228.0
34.0	220.0
35.0	185.0
36.0	225.0
37.0	202.0
38.0	199.0
39.0	174.0
40.0	190.0
41.0	197.0
42.0	210.0
43.0	186.0
44.0	195.0
45.0	168.0
46.0	156.0
47.0	165.0
48.0	153.0
49.0	159.0
50.0	148.0
51.0	139.0
52.0	136.0
53.0	153.0
54.0	177.0
55.0	157.0
56.0	162.0
57.0	137.0
58.0	153.0
59.0	122.0
60.0	140.0
61.0	138.0
62.0	138.0
63.0	154.0
64.0	168.0
65.0	166.0
66.0	133.0
67.0	128.0
68.0	107.0
69.0	81.0
70.0	75.0
71.0	76.0
72.0	82.0
73.0	73.0
74.0	69.0
75.0	80.0
76.0	76.0
77.0	84.0
78.0	84.0
79.0	80.0
80.0	82.0
81.0	96.0
82.0	77.0
83.0	102.0
84.0	101.0
85.0	95.0
86.0	117.0
87.0	117.0
88.0	131.0
89.0	116.0
90.0	123.0
91.0	106.0
92.0	109.0
93.0	85.0
94.0	78.0
95.0	59.0
96.0	39.0
97.0	39.0
98.0	43.0
99.0	43.0
100.0	41.0
101.0	52.0
102.0	57.0
103.0	40.0
104.0	39.0
105.0	57.0
106.0	54.0
107.0	72.0
108.0	65.0
109.0	65.0
110.0	68.0
111.0	45.0
112.0	44.0
113.0	47.0
114.0	41.0
115.0	35.0
116.0	45.0
117.0	35.0
118.0	14.0
119.0	2.0
