# table produced by calculations.DamageProfiler
# using mapped file Pool-3-002-AZP-187_S6_rmdup.bam
# Sample ID: Pool-3-002-AZP-187_S6_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	19
+	31	11
+	32	14
+	33	19
+	34	10
+	35	13
+	36	17
+	37	15
+	38	12
+	39	13
+	40	17
+	41	8
+	42	24
+	43	24
+	44	16
+	45	16
+	46	21
+	47	13
+	48	8
+	49	12
+	50	8
+	51	8
+	52	8
+	53	9
+	54	15
+	55	9
+	56	9
+	57	5
+	58	17
+	59	11
+	60	253
+	61	5
+	62	12
+	63	4
+	64	10
+	65	3
+	66	2
+	67	4
+	68	4
+	69	3
+	70	6
+	71	3
+	72	12
+	73	5
+	75	3
+	76	5
+	77	2
+	78	3
+	79	3
+	80	2
+	81	1
+	82	3
+	83	3
+	84	5
+	85	1
+	86	1
+	88	2
+	89	1
+	90	1
+	91	1
+	92	2
+	93	1
+	96	1
+	98	1
+	102	7
+	103	1
+	104	1
+	105	1
+	107	1
-	30	15
-	31	16
-	32	14
-	33	15
-	34	13
-	35	13
-	36	19
-	37	20
-	38	18
-	39	14
-	40	12
-	41	15
-	42	12
-	43	6
-	44	12
-	45	17
-	46	12
-	47	7
-	48	6
-	49	14
-	50	11
-	51	6
-	52	7
-	53	6
-	54	2
-	55	5
-	56	2
-	57	11
-	58	6
-	59	5
-	60	271
-	61	1
-	62	7
-	63	5
-	64	5
-	65	6
-	66	1
-	67	3
-	68	8
-	69	2
-	70	5
-	71	8
-	72	2
-	73	1
-	74	3
-	75	1
-	76	4
-	77	6
-	78	6
-	79	2
-	80	1
-	81	1
-	83	1
-	84	4
-	85	1
-	86	3
-	87	1
-	88	4
-	89	2
-	90	2
-	91	1
-	92	1
-	93	1
-	95	1
-	96	2
-	97	1
-	99	2
-	101	3
-	102	2
-	103	1
-	104	1
-	105	3
-	106	1
-	108	2
-	109	1
