sample,mean_p_cov
Streptococcus_equinus_CNU_G6,96.76101135016094
Streptococcus_equinus_MPR2,102.23598523349709
Streptococcus_equinus_pGA-7,98.86008879665707
Streptococcus_gallolyticus_FDAARGOS_666,61.22285631599752
Streptococcus_gallolyticus_FDAARGOS_755,76.56283528149528
Streptococcus_gallolyticus_PMB1956,50.49256380936247
Streptococcus_infantarius_45,154.5492687334124
Streptococcus_infantarius_Sb20,160.84828688802304
Streptococcus_infantarius_STR_HA7938AA,92.65951987689876
Streptococcus_infantarius_BR_UFV02,15.237107544186571
Streptococcus_infantarius_BR_UFV05,14.375292930148513
Streptococcus_equinus_CMB014,31.173527584843864
Streptococcus_equinus_CMB062,79.46104734880569
Streptococcus_lutetiensis_DSMZ_15350-TS,43.87205305212039
Streptococcus_lutetiensis_FDAARGOS_1018,244.2916384324355
Streptococcus_salivarius_BIOML-A25,3.7337759049071093
Streptococcus_sp_CMB018_equinus,70.23476763227737
AZP-187,0.006557400191992772
AZP-195,0.006246823648992038
AZP-223,0.05768253430459089
AZP-226,1.3910335140324128
AZP-244,0.010432548421706477
AZP-283,0.06563752894008697
