#Position (bp)	mapping quality
2242.5	36.85729251542312
6726.5	36.3994624344042
11210.5	36.69335383159886
15694.5	9.287199317029076
20178.5	0.2867526716087417
24662.5	0.0
29146.5	23.49095607235142
33630.5	36.89318280503691
38114.5	36.81146770511615
42598.5	36.807725748354244
47082.5	36.69593147751606
51566.5	36.923342065352266
56050.5	34.084256514276795
60534.5	35.697076875065015
65018.5	36.546784040891666
69502.5	36.81981981981982
73986.5	36.78658162639519
78470.5	2.303512648239167
82954.5	3.395796557811121
87438.5	0.0
91922.5	34.136309286568356
96406.5	36.778049775601794
100890.5	36.37806710065097
105374.5	36.75026014568158
109858.5	36.929429429429426
114342.5	36.74193548387097
118826.5	34.058013765978366
123310.5	35.963804116394606
127794.5	37.0
132278.5	32.282549972987574
136762.5	30.147896302592436
141246.5	36.92945036915504
145730.5	29.789726877715704
150214.5	36.41511402593531
154698.5	36.516796598157335
159182.5	36.62045152722443
163666.5	36.794652406417114
168150.5	36.610776876798326
172634.5	35.418654034629206
177118.5	36.69799392097264
181602.5	36.5542849800848
186086.5	35.58128612716763
190570.5	33.628434065934066
195054.5	36.836828309305375
199538.5	36.064358931272054
204022.5	34.7403536977492
208506.5	36.36418226774991
212990.5	36.8448
217474.5	36.79745695960391
221958.5	36.92392068626072
226442.5	36.41931177692079
230926.5	37.0
235410.5	32.093114241001565
239894.5	0.9903685867753288
244378.5	11.273739081431389
248862.5	36.513757584309296
253346.5	36.77349397590361
257830.5	36.68511450381679
262314.5	36.33882203926536
266798.5	24.129431558706887
271282.5	36.77703826955075
275766.5	36.87868852459017
280250.5	36.65239826433681
284734.5	36.892389112903224
289218.5	37.0
293702.5	36.553928891544665
298186.5	36.63677130044843
302670.5	3.2162544169611307
307154.5	0.0
311638.5	31.205557473248188
316122.5	36.9144283337295
320606.5	37.0
325090.5	36.91148068669528
329574.5	36.899174272055625
334058.5	36.8950384557382
338542.5	36.610401891252955
343026.5	36.55554179566563
347510.5	37.0
351994.5	36.66408908134859
356478.5	36.560477001703575
360962.5	36.67403462050599
365446.5	36.87504488330341
369930.5	36.27830030231777
374414.5	36.772139466361104
378898.5	36.935115093465164
383382.5	37.0
387866.5	36.630784835805756
392350.5	36.878172588832484
396834.5	36.87429070274989
401318.5	37.0
405802.5	36.78025331909049
410286.5	36.750773993808046
414770.5	35.938162861765235
419254.5	0.0
423738.5	14.980855397148677
428222.5	36.511125039172676
432706.5	36.227922624053825
437190.5	37.0
441674.5	35.21448863636363
446158.5	36.66890208852271
450642.5	36.59013282732448
455126.5	36.421269296740995
459610.5	36.74091721262656
464094.5	36.629516093715786
468578.5	36.68755452166327
473062.5	34.98114319387154
477546.5	36.862264637606394
482030.5	34.36997142229061
486514.5	36.51925391095066
490998.5	36.98318691305665
495482.5	36.90206831714196
499966.5	36.93076923076923
504450.5	36.624306247331724
508934.5	36.65892941733775
513418.5	36.705882352941174
517902.5	36.655564581640945
522386.5	37.0
526870.5	36.35843981170141
531354.5	35.62026952187558
535838.5	37.0
540322.5	36.94387692307692
544806.5	36.83051702395964
549290.5	37.0
553774.5	36.42067833698031
558258.5	36.48455017774132
562742.5	36.42892232115444
567226.5	36.65547910723276
571710.5	36.57239728759473
576194.5	37.0
580678.5	36.775097013666276
585162.5	36.434952540480175
589646.5	36.78871639530481
594130.5	36.338582677165356
598614.5	36.79405688860639
603098.5	37.0
607582.5	36.7573071062474
612066.5	36.622600408441116
616550.5	36.616883116883116
621034.5	37.0
625518.5	36.86080843585237
630002.5	36.53290752568731
634486.5	36.533481152993346
638970.5	36.906120417979764
643454.5	33.842300556586274
647938.5	23.635990139687756
652422.5	36.62621359223301
656906.5	36.78371883448483
661390.5	36.685339885339886
665874.5	36.08203530633437
670358.5	36.76010904134484
674842.5	36.250915006100044
679326.5	36.62703804347826
683810.5	36.78763326226013
688294.5	36.52094946951987
692778.5	36.48953974895397
697262.5	36.53522607781283
701746.5	36.298762337458875
706230.5	36.234753550543026
710714.5	33.76
715198.5	0.0
719682.5	37.0
724166.5	2.5517241379310347
728650.5	36.53144154370034
733134.5	36.247435695123876
737618.5	36.852368866328256
742102.5	36.73876404494382
746586.5	35.99446428571429
751070.5	37.0
755554.5	36.43262411347518
760038.5	36.915011228191396
764522.5	36.49920424403183
769006.5	36.798687089715536
773490.5	36.789739884393065
777974.5	36.90506942202131
782458.5	36.08111273792094
786942.5	36.88096987509184
791426.5	36.814595660749504
795910.5	37.0
800394.5	36.80521498877569
804878.5	34.81832512315271
809362.5	36.54657293497364
813846.5	36.13702864207706
818330.5	36.769961660276714
822814.5	36.56864337936637
827298.5	35.9452736318408
831782.5	34.613142857142854
836266.5	36.75212636695018
840750.5	36.00419761059089
845234.5	36.84819424607223
