#Coverage (X)	Coverage
1.0	69.27841937730308
2.0	39.61013001799254
3.0	18.078907355977435
4.0	7.114720151032529
5.0	2.6614129413594867
6.0	1.1685394260786524
7.0	0.6845194452699559
8.0	0.530576447111585
9.0	0.4507335013083349
10.0	0.4063515286411672
11.0	0.37390139284683244
12.0	0.3449081443707911
13.0	0.3168627520949201
14.0	0.2902112659957936
15.0	0.26562276103823024
16.0	0.25112613680020957
17.0	0.23568165636200433
18.0	0.22202137583002468
19.0	0.20947622023942358
20.0	0.19904980203746447
21.0	0.18683918392927978
22.0	0.1720080222088427
23.0	0.15734412922961383
24.0	0.14491048613315627
25.0	0.13203079306013876
26.0	0.11792446255159916
27.0	0.10565808819634981
28.0	0.09551045122972823
29.0	0.08569735174552306
30.0	0.07705513344977533
31.0	0.06802262142454651
32.0	0.060551284317256204
33.0	0.0534144846923823
34.0	0.0462776850675084
35.0	0.039698447913323776
36.0	0.03534946064191047
37.0	0.031056229617576037
38.0	0.02754358605220375
39.0	0.024030942486831464
40.0	0.020239517686121644
41.0	0.016894142861957562
42.0	0.013994818014353427
43.0	0.010760955684332885
44.0	0.008140412072080494
45.0	0.00607743093051738
46.0	0.004795037247916412
47.0	0.003512643565315443
48.0	0.0025090311180662184
49.0	9.478562001277169E-4
50.0	5.575624706466442E-4
51.0	3.902937294384401E-4
