#Coverage	Number of genomic locations
0.0	550998.0
1.0	532107.0
2.0	386167.0
3.0	196645.0
4.0	79871.0
5.0	26775.0
6.0	8681.0
7.0	2761.0
8.0	1432.0
9.0	796.0
10.0	582.0
11.0	520.0
12.0	503.0
13.0	478.0
14.0	441.0
15.0	260.0
16.0	277.0
17.0	245.0
18.0	225.0
19.0	187.0
20.0	219.0
21.0	266.0
22.0	263.0
23.0	223.0
24.0	231.0
25.0	253.0
26.0	220.0
27.0	182.0
28.0	176.0
29.0	155.0
30.0	162.0
31.0	134.0
32.0	128.0
33.0	128.0
34.0	118.0
35.0	78.0
36.0	77.0
37.0	63.0
38.0	63.0
39.0	68.0
40.0	60.0
41.0	52.0
42.0	58.0
43.0	47.0
44.0	37.0
45.0	23.0
46.0	23.0
47.0	18.0
48.0	28.0
49.0	7.0
50.0	3.0
51.0	2.0
52.0	2.0
53.0	3.0
