Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	13	13	13	13	Off	Off
Actinobacillus_pleuropneumoniae	37	37	126	126	Off	Off
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	5	5	21	21	Off	Off
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	2	2	10	10	Off	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	7	7	13	13	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	4	4	6	6	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	1	1	2	2	Off	Off
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	56	56	57	57	Off	Off
Bordetella_bronchiseptica	32	32	40	40	Off	Off
Bordetella_genomosp._13	93	93	94	94	Off	Off
Bordetella_pertussis	18	18	207	207	Off	Off
Bordetella_pertussis_137	2	2	39	39	Off	Off
Bordetella_pertussis_18323	1	1	2	2	Off	Off
Bordetella_petrii	55	55	55	55	Off	Off
Bordetella_trematum	20	20	31	31	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	28	28	29	29	Off	Off
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	78	78	114	114	Off	Off
Burkholderia_cepacia_ATCC_25416	17	17	84	84	Off	Off
Burkholderia_cepacia_JBK9	21	21	48	48	Off	Off
